season,team_a,team_b,rating_a,rating_b,rating_diff,duncan_fav,vegas_fav,vegas_g1_spread,actual_winner,actual_loser,series_score,n_games,duncan_correct,vegas_correct,first_game_date
2021,Dallas Mavericks,Los Angeles Clippers,3.165843541738729,5.078570548516704,1.912727006777975,Los Angeles Clippers,Los Angeles Clippers,6.0,Los Angeles Clippers,Dallas Mavericks,4-3,7,True,True,2021-05-22
2021,Denver Nuggets,Portland Trail Blazers,4.245967716058072,4.391095784269917,0.14512806821184565,Portland Trail Blazers,Denver Nuggets,1.0,Denver Nuggets,Portland Trail Blazers,4-2,6,False,True,2021-05-22
2021,Miami Heat,Milwaukee Bucks,1.966927786274686,3.930240758279033,1.963312972004347,Milwaukee Bucks,Milwaukee Bucks,5.5,Milwaukee Bucks,Miami Heat,4-0,4,True,True,2021-05-22
2021,Atlanta Hawks,New York Knicks,3.0803164385872783,4.053174947284795,0.9728585086975166,New York Knicks,New York Knicks,1.5,Atlanta Hawks,New York Knicks,4-1,5,False,False,2021-05-23
2021,Los Angeles Lakers,Phoenix Suns,0.6608219717303426,5.454198660502228,4.793376688771885,Phoenix Suns,Phoenix Suns,2.5,Phoenix Suns,Los Angeles Lakers,4-2,6,True,True,2021-05-23
2021,Memphis Grizzlies,Utah Jazz,2.014138213978299,6.719481630746861,4.705343416768562,Utah Jazz,Utah Jazz,7.5,Utah Jazz,Memphis Grizzlies,4-1,5,True,True,2021-05-23
2021,Philadelphia 76ers,Washington Wizards,5.687895599417136,0.892707622760173,4.795187976656963,Philadelphia 76ers,Philadelphia 76ers,8.0,Philadelphia 76ers,Washington Wizards,4-1,5,True,True,2021-05-23
2021,Brooklyn Nets,Milwaukee Bucks,5.587156621990114,5.997149638255573,0.40999301626545925,Milwaukee Bucks,Brooklyn Nets,3.5,Milwaukee Bucks,Brooklyn Nets,4-3,7,True,False,2021-06-05
2021,Atlanta Hawks,Philadelphia 76ers,4.763741737521524,7.070257633746246,2.306515896224722,Philadelphia 76ers,Philadelphia 76ers,4.5,Atlanta Hawks,Philadelphia 76ers,4-3,7,False,False,2021-06-06
2021,Denver Nuggets,Phoenix Suns,4.7144229421331865,5.498319149401909,0.7838962072687226,Phoenix Suns,Phoenix Suns,6.0,Phoenix Suns,Denver Nuggets,4-0,4,True,True,2021-06-07
2021,Los Angeles Clippers,Utah Jazz,5.539224698416771,6.98403375616217,1.4448090577453998,Utah Jazz,Utah Jazz,2.5,Los Angeles Clippers,Utah Jazz,4-2,6,False,False,2021-06-08
2021,Los Angeles Clippers,Phoenix Suns,7.484678532002987,7.431315255934336,0.053363276068651544,Los Angeles Clippers,Phoenix Suns,4.0,Phoenix Suns,Los Angeles Clippers,4-2,6,False,True,2021-06-20
2021,Atlanta Hawks,Milwaukee Bucks,5.268726853364378,6.169172709887685,0.9004458565233069,Milwaukee Bucks,Milwaukee Bucks,8.0,Milwaukee Bucks,Atlanta Hawks,4-2,6,True,True,2021-06-23
2021,Milwaukee Bucks,Phoenix Suns,7.366261416898868,7.906676225862049,0.5404148089631811,Phoenix Suns,Phoenix Suns,5.0,Milwaukee Bucks,Phoenix Suns,4-2,6,False,False,2021-07-06
2022,Dallas Mavericks,Utah Jazz,3.8009253713476254,3.3171998435809664,0.483725527766659,Dallas Mavericks,Utah Jazz,-5.5,Dallas Mavericks,Utah Jazz,4-2,6,True,False,2022-04-16
